Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.670766,0.795199,0.566797,0.665946,0.691488,0.000000,0.000000,0.105932,0.246314,0.322960,0.409983,22.081167,30.400683,35.335977,0.649268,10.198426,
1,0.670722,0.797004,0.559528,0.669407,0.691490,4.143696,4.183528,0.107365,0.249452,0.326435,0.413356,22.114522,30.368178,35.303327,0.653997,12.881367,
2,0.666881,0.801824,0.553406,0.658352,0.692151,4.143696,4.143696,0.107226,0.249204,0.325646,0.413127,22.075447,30.311820,35.275677,0.653158,12.418674,
3,0.667897,0.802079,0.549063,0.650782,0.703503,4.176044,4.234938,0.107515,0.247896,0.323170,0.409991,22.076282,30.308885,35.338460,0.650730,12.577449,
4,0.681422,0.801760,0.562500,0.670989,0.715408,4.176044,4.176044,0.109572,0.250521,0.326182,0.412104,22.151687,30.303668,35.336083,0.657353,14.152089,
5,0.680692,0.800465,0.575033,0.663510,0.713232,4.221173,4.221173,0.109417,0.251856,0.328341,0.412652,22.160550,30.332585,35.284876,0.658041,14.034212,
6,0.685723,0.798726,0.582955,0.662599,0.723970,4.190485,4.228703,0.109119,0.251037,0.327889,0.414280,22.141396,30.332247,35.307113,0.658365,14.720869,
7,0.676083,0.800907,0.575005,0.650808,0.711515,4.190485,4.190485,0.109433,0.250106,0.326776,0.413016,22.187313,30.339864,35.253506,0.656855,13.522972,
8,0.674811,0.794173,0.565843,0.650763,0.715864,4.246238,4.311579,0.108273,0.250091,0.326489,0.411611,22.061657,30.289836,35.248089,0.655095,13.392024,
9,0.688354,0.797411,0.575073,0.668060,0.731318,4.246238,4.246238,0.108494,0.249615,0.328011,0.417522,22.118123,30.288117,35.311860,0.657700,15.223559,
10,0.689550,0.798810,0.572389,0.674651,0.729585,4.258768,4.258768,0.108623,0.248522,0.325869,0.411207,22.113552,30.275589,35.386518,0.654320,15.314839,
11,0.691106,0.804743,0.578712,0.671261,0.731871,4.252124,4.331033,0.107618,0.246565,0.321364,0.403671,22.067523,30.258322,35.248771,0.652726,15.483389,
12,0.685171,0.800014,0.576885,0.669833,0.719330,4.252124,4.252124,0.108015,0.248200,0.323629,0.404680,22.122551,30.278051,35.302923,0.651802,14.664413,
13,0.687186,0.794148,0.573886,0.667540,0.730516,4.230080,4.309847,0.106250,0.247414,0.323794,0.408973,22.042778,30.238588,35.363732,0.652276,15.038046,
14,0.681922,0.799602,0.575177,0.665173,0.716073,4.230080,4.230080,0.106904,0.251528,0.330534,0.415550,22.080368,30.265182,35.336513,0.655882,14.279498,
15,0.685391,0.798364,0.581603,0.671083,0.717672,4.266311,4.266311,0.106660,0.250891,0.329291,0.415052,22.075553,30.301131,35.348514,0.656225,14.771826,
16,0.681519,0.797047,0.572535,0.667832,0.714968,4.177805,4.289475,0.106705,0.248491,0.325722,0.410685,22.114418,30.345041,35.338271,0.653237,14.256250,
17,0.680266,0.793781,0.572503,0.669868,0.710676,4.177805,4.177805,0.106817,0.249327,0.327294,0.410307,22.097238,30.353554,35.363551,0.651922,14.043950,
18,0.677429,0.794810,0.578389,0.667011,0.702603,4.277810,4.289626,0.107355,0.249233,0.326408,0.411758,22.101228,30.330205,35.294492,0.652713,13.790737,
19,0.673213,0.793959,0.567127,0.658395,0.704604,4.277810,4.277810,0.105944,0.245633,0.324457,0.411142,22.123257,30.326827,35.320654,0.651669,13.429753,
20,0.678585,0.796757,0.582362,0.660633,0.708784,4.225203,4.298135,0.106351,0.248196,0.327773,0.415342,22.041727,30.251691,35.275666,0.652639,14.012486,
21,0.670062,0.795827,0.572605,0.652660,0.697988,4.225203,4.225203,0.107632,0.250044,0.329698,0.415413,22.099289,30.283897,35.298320,0.655499,12.842952,
22,0.672644,0.796308,0.558361,0.658994,0.706766,4.313762,4.372040,0.108444,0.250822,0.329793,0.417274,22.096328,30.265764,35.226455,0.655724,13.222164,
23,0.669760,0.796252,0.565434,0.649834,0.703386,4.313762,4.313762,0.108266,0.250473,0.329692,0.417115,22.087679,30.269689,35.334994,0.661881,12.875900,
24,0.675697,0.799213,0.570967,0.657713,0.708428,4.266847,4.331925,0.108290,0.251447,0.331389,0.418259,22.044559,30.236023,35.203651,0.659840,13.556002,
25,0.672168,0.799383,0.558336,0.661379,0.701492,4.266847,4.266847,0.107883,0.251025,0.331137,0.418548,22.060634,30.251895,35.305970,0.659714,13.143015,
26,0.674170,0.791303,0.567129,0.666808,0.699842,4.299096,4.392347,0.108011,0.253181,0.331809,0.415958,22.024275,30.262545,35.218991,0.660456,13.271447,
27,0.676259,0.794403,0.573592,0.664911,0.703400,4.299096,4.299096,0.107741,0.253502,0.333755,0.418797,22.022508,30.236013,35.304186,0.664016,13.566443,
28,0.682628,0.791110,0.574465,0.656103,0.728917,4.295869,4.379281,0.108856,0.254398,0.333828,0.421007,22.068793,30.275302,35.276875,0.664956,14.365141,
29,0.672421,0.795017,0.578127,0.649892,0.703966,4.295869,4.295869,0.108111,0.250288,0.328010,0.415501,22.042241,30.272122,35.237890,0.659693,13.186217,
30,0.674879,0.801471,0.565405,0.658034,0.708571,4.359880,4.380836,0.109206,0.251046,0.328435,0.414193,22.076717,30.277042,35.272023,0.658128,13.466114,
31,0.672155,0.795534,0.571162,0.658151,0.700503,4.318992,4.359880,0.109397,0.251524,0.328939,0.414503,22.062786,30.252049,35.317263,0.660695,13.077215,
32,0.668028,0.790087,0.561149,0.655624,0.698008,4.238091,4.318992,0.108583,0.250291,0.327168,0.408136,22.054846,30.298687,35.341505,0.655386,12.458516,
33,0.679280,0.796465,0.566212,0.672615,0.708881,4.238091,4.238091,0.108551,0.250857,0.327331,0.410785,22.081506,30.337785,35.347066,0.654570,13.889583,
34,0.685993,0.797938,0.574790,0.669212,0.724511,4.321673,4.336400,0.108686,0.252123,0.329807,0.412559,22.101610,30.343550,35.179815,0.657103,14.760708,
35,0.680906,0.800460,0.579704,0.669417,0.706788,4.252666,4.321673,0.107479,0.248655,0.324942,0.407216,22.083246,30.345453,35.383298,0.652677,14.154621,
