Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
0,0.988824,0.977680,0.980043,0.990293,0.994134,0.000000,0.000000,0.799596,0.984563,0.991739,0.994128,42.799896,44.731323,45.589441,94.074687,
1,0.987302,0.977750,0.978020,0.987828,0.992768,2.057859,3.133171,0.796634,0.981378,0.989704,0.992403,42.693454,44.898374,45.637430,96.217477,
2,0.987524,0.978032,0.979002,0.987889,0.992764,2.057859,2.057859,0.801395,0.982880,0.990459,0.993116,42.952274,44.949472,45.700031,96.363664,
3,0.988435,0.977741,0.979987,0.988582,0.994132,2.230503,3.561756,0.803460,0.983582,0.991650,0.994582,43.050791,44.770352,45.766729,96.961492,
4,0.988069,0.978867,0.981136,0.987459,0.993407,1.181002,2.230503,0.807330,0.984648,0.992225,0.994722,43.143381,44.828280,45.737003,95.546303,
5,0.988049,0.978403,0.980339,0.987647,0.993656,1.181002,1.181002,0.806594,0.983594,0.991687,0.994098,43.128082,44.984206,45.722806,95.463203,
6,0.987887,0.978350,0.980642,0.987696,0.993036,2.045057,3.904366,0.805781,0.984257,0.991827,0.994216,43.057446,44.893167,45.564315,96.581885,
7,0.987976,0.977704,0.977713,0.989289,0.993423,2.045057,2.045057,0.802861,0.982566,0.991029,0.993550,42.880120,44.900002,45.545755,96.504306,
8,0.988251,0.978559,0.980976,0.988026,0.993524,2.867041,4.426156,0.809710,0.983847,0.991115,0.993890,43.223958,44.778264,45.676596,97.671298,
9,0.988129,0.978493,0.979724,0.988955,0.993067,2.128716,2.867041,0.808179,0.984296,0.991850,0.993937,43.181042,44.947495,45.632029,96.722868,
10,0.988520,0.979788,0.981514,0.988245,0.993561,2.128716,2.128716,0.810315,0.984268,0.991424,0.994002,43.245937,44.837261,45.850250,96.794403,
11,0.988622,0.977347,0.981001,0.988742,0.994212,1.544434,2.574802,0.809792,0.983606,0.991459,0.994101,43.204293,44.811331,45.765138,96.056749,
12,0.987728,0.977537,0.980820,0.987653,0.992956,1.544434,1.544434,0.808755,0.983386,0.991198,0.994336,43.146480,44.881798,45.661819,95.868250,
13,0.988894,0.978847,0.980361,0.989495,0.994253,1.624470,1.624470,0.810168,0.984275,0.991887,0.994930,43.192515,44.847870,45.672313,96.310183,
14,0.988857,0.978437,0.980697,0.990231,0.993628,2.572606,2.572606,0.806649,0.984570,0.992270,0.995230,43.075172,44.795720,45.502130,97.583436,
15,0.987919,0.977618,0.981068,0.988059,0.992965,1.603383,2.722379,0.809824,0.984584,0.991775,0.993579,43.179398,44.973922,45.418007,95.957996,
16,0.988917,0.978736,0.979961,0.990179,0.993980,1.475968,1.603383,0.807295,0.983060,0.990955,0.993899,43.041863,45.012529,45.538579,95.990030,
17,0.987602,0.978479,0.979732,0.987114,0.993311,1.475968,1.475968,0.805283,0.983052,0.991312,0.994139,42.945778,44.884070,45.586769,95.738642,
18,0.989303,0.979343,0.981144,0.989736,0.994599,2.559215,2.559215,0.809830,0.985123,0.992069,0.994650,43.166157,44.980886,45.597849,97.611258,
19,0.987710,0.978839,0.980880,0.986906,0.993113,2.403296,3.947936,0.807390,0.982431,0.990692,0.994134,43.014027,44.972597,45.639747,96.944879,
20,0.988572,0.977564,0.980330,0.988818,0.994266,2.403296,2.403296,0.804050,0.982699,0.990529,0.993014,42.916331,45.025252,45.513370,97.036592,
21,0.989509,0.978416,0.981470,0.989917,0.994997,2.849915,2.941032,0.806929,0.983820,0.991594,0.994239,43.049355,44.877907,45.494652,97.972339,
22,0.987980,0.977014,0.978680,0.988867,0.993613,2.381322,2.849915,0.802789,0.984103,0.992004,0.994150,42.902222,44.995180,45.622785,97.042062,
23,0.988420,0.978925,0.981261,0.988263,0.993591,1.791948,2.381322,0.808227,0.983373,0.991242,0.993870,43.147568,44.995846,45.603591,96.308789,
24,0.989010,0.978561,0.981910,0.988463,0.994739,1.212429,1.791948,0.810923,0.983550,0.991280,0.994267,43.204348,44.926141,45.663372,95.708343,
25,0.988531,0.979688,0.981959,0.988486,0.993306,1.212429,1.212429,0.810385,0.983899,0.990836,0.993418,43.190207,44.968955,45.598614,95.517943,
26,0.988267,0.978771,0.981523,0.986710,0.994373,2.157284,2.157284,0.810350,0.985210,0.992353,0.994696,43.197795,44.952768,45.773894,96.878269,
27,0.988841,0.978452,0.982051,0.989336,0.993714,2.491421,2.612113,0.809255,0.984575,0.991538,0.993977,43.165119,44.779848,45.474155,97.341863,
28,0.988872,0.978043,0.982507,0.989329,0.993651,2.491421,2.491421,0.810603,0.984189,0.991776,0.995047,43.205395,44.901631,45.700031,97.443408,
29,0.988424,0.977979,0.979941,0.988701,0.994086,3.066135,3.139193,0.806005,0.984217,0.991883,0.994672,43.023532,44.995846,45.628945,98.063740,
30,0.988445,0.979012,0.981934,0.989337,0.992574,3.066135,3.066135,0.810359,0.983794,0.991607,0.994363,43.219420,44.809098,45.805880,98.030658,
31,0.988381,0.978733,0.981708,0.989184,0.992692,1.656642,4.159500,0.809877,0.984060,0.991193,0.992940,43.231494,45.047774,45.518250,96.049175,
32,0.988335,0.978820,0.982496,0.990069,0.991603,1.336601,1.656642,0.807989,0.983554,0.991062,0.993539,43.158624,44.984538,45.522383,95.657803,
33,0.989152,0.980274,0.979844,0.989320,0.994668,1.325819,1.336601,0.808790,0.984720,0.992150,0.994788,43.194329,45.195169,45.793457,95.975523,
34,0.988465,0.977261,0.980036,0.989274,0.993640,1.325819,1.325819,0.804631,0.984050,0.991620,0.994470,43.065392,44.961680,45.721232,95.774085,
35,0.987612,0.977737,0.978883,0.988662,0.992331,2.290565,2.484406,0.806600,0.983327,0.990972,0.993343,43.097969,45.061952,45.505124,96.729812,
36,0.987853,0.977945,0.979350,0.989127,0.992292,1.085538,2.290565,0.805843,0.983587,0.991203,0.993827,43.079454,44.738536,45.695726,95.251085,
37,0.988086,0.978368,0.979910,0.989344,0.992344,1.085538,1.085538,0.806879,0.984145,0.991968,0.994995,43.147513,44.819318,45.575338,95.431894,
38,0.988006,0.977417,0.978836,0.988956,0.993020,0.775475,1.477428,0.808054,0.984572,0.992197,0.994573,43.181974,44.929092,45.617787,94.981906,
39,0.988561,0.977959,0.978887,0.988723,0.994264,0.775475,0.775475,0.808218,0.984560,0.992281,0.994675,43.190866,44.893167,45.656775,95.114586,
40,0.988949,0.977873,0.980051,0.989455,0.994234,0.763833,2.571862,0.806946,0.984665,0.992247,0.994819,43.168507,44.833410,45.634343,95.194375,
41,0.989031,0.980140,0.979705,0.990380,0.993420,0.763833,0.763833,0.807297,0.984906,0.992339,0.994827,43.193889,44.820597,45.664149,95.217996,
42,0.988616,0.977934,0.980120,0.989247,0.993603,1.237803,2.112758,0.807394,0.983070,0.991184,0.994282,43.192735,44.982878,45.678544,95.651333,
43,0.988790,0.977198,0.980610,0.989477,0.993835,1.151986,1.237803,0.805161,0.983657,0.991480,0.993777,43.123860,44.866255,45.651737,95.551830,
44,0.988021,0.977844,0.978868,0.989318,0.992692,0.816528,1.151986,0.806950,0.983604,0.991039,0.993482,43.156062,44.831807,45.530662,94.896446,
45,0.988433,0.977497,0.979785,0.990294,0.992678,0.816528,0.816528,0.806092,0.984251,0.992054,0.994359,43.133230,44.854635,45.550293,95.104940,
46,0.988053,0.976803,0.979635,0.989146,0.992815,1.093762,1.830254,0.807032,0.983515,0.991548,0.994257,43.149472,45.033642,45.578764,95.354752,
47,0.989245,0.977679,0.982130,0.989344,0.994263,1.093762,1.093762,0.808389,0.984947,0.992510,0.995205,43.220914,44.881150,45.609724,95.739713,
48,0.988569,0.977223,0.980016,0.989257,0.993632,1.487361,1.487361,0.806544,0.984371,0.991671,0.994128,43.143272,44.811970,45.656387,95.985474,
49,0.987723,0.979240,0.980151,0.988637,0.991661,0.819170,1.489912,0.806091,0.984088,0.991928,0.994260,43.146099,44.777947,45.563177,94.939570,
50,0.987551,0.978433,0.978577,0.988208,0.992331,0.819170,0.819170,0.804668,0.983180,0.991351,0.993901,43.106528,44.737908,45.388015,94.843840,
51,0.988302,0.978393,0.980473,0.988718,0.993014,2.090426,2.631266,0.807711,0.984336,0.991865,0.994372,43.182029,44.819638,45.404448,96.746230,
52,0.987930,0.978979,0.979712,0.987797,0.992974,1.036531,2.090426,0.805198,0.983756,0.991528,0.994485,43.122724,45.077195,45.492411,95.271143,
53,0.988525,0.978895,0.979793,0.987898,0.994257,1.036531,1.036531,0.805687,0.984327,0.991882,0.994298,43.135237,44.796356,45.433817,95.404222,
54,0.988950,0.978727,0.982370,0.988188,0.994083,1.132357,2.568333,0.807434,0.984405,0.991720,0.994905,43.198675,44.969286,45.599379,95.664742,
55,0.988648,0.976576,0.979483,0.990240,0.993492,1.132357,1.132357,0.804151,0.984594,0.991849,0.994342,43.095388,44.826038,45.662984,95.561300,
56,0.988257,0.977892,0.981219,0.988563,0.992882,2.323698,2.323698,0.807672,0.983875,0.991165,0.993769,43.229997,44.997512,45.570773,96.959040,
57,0.987472,0.977651,0.979376,0.987938,0.992184,2.968231,2.968231,0.803652,0.982255,0.990892,0.993804,43.120291,45.022905,45.479363,97.605811,
58,0.988795,0.977942,0.980887,0.989458,0.993487,2.394758,2.987564,0.805824,0.983544,0.991316,0.993296,43.236377,44.872401,45.609340,97.136244,
59,0.988242,0.977756,0.981665,0.988094,0.992842,2.192448,2.394758,0.802662,0.982966,0.991328,0.994028,43.107013,44.830203,45.345938,96.808033,
60,0.988514,0.978137,0.978529,0.988274,0.994258,2.192448,2.192448,0.803558,0.984052,0.991905,0.994460,43.146153,44.963993,45.362937,96.933092,
61,0.988757,0.978488,0.979577,0.988919,0.993883,1.668488,2.487815,0.803972,0.984338,0.991642,0.994307,43.204789,44.996512,45.301048,96.277842,
62,0.988713,0.979438,0.978493,0.987970,0.994580,1.668488,1.668488,0.804110,0.983892,0.992082,0.994511,43.246883,45.049797,45.362575,96.302053,
63,0.988256,0.978825,0.979979,0.987185,0.993769,1.629906,2.021967,0.804355,0.984242,0.991876,0.994965,43.260373,44.977900,45.483460,96.180605,
64,0.988453,0.978826,0.980392,0.987875,0.993670,1.629906,1.629906,0.801417,0.982243,0.990383,0.993559,43.175400,45.058910,45.713761,96.035233,
65,0.989185,0.978189,0.981991,0.989649,0.993726,1.959605,2.164083,0.802848,0.981662,0.990202,0.993135,43.250391,45.051483,45.540089,96.582046,
66,0.988475,0.978562,0.979352,0.988042,0.994125,1.550406,1.959605,0.801008,0.982467,0.990898,0.993797,43.137515,45.123932,45.400060,95.978734,
67,0.988536,0.978977,0.979170,0.989007,0.993665,1.550406,1.550406,0.801600,0.983755,0.991641,0.994157,43.181865,45.265822,45.326489,96.059807,
68,0.988691,0.978352,0.980149,0.988723,0.993967,1.431208,1.658561,0.800908,0.982399,0.990291,0.993723,43.128570,45.182288,45.548780,95.835886,
69,0.989205,0.978727,0.982739,0.988599,0.994189,1.431208,1.431208,0.802171,0.982803,0.991226,0.994180,43.208098,45.143871,45.593261,96.027811,
70,0.988626,0.978924,0.981667,0.988069,0.993558,2.299395,2.299395,0.803804,0.983185,0.991330,0.994289,43.246160,44.999844,45.546889,97.053358,
71,0.988515,0.977477,0.980569,0.988697,0.993547,2.264273,2.389558,0.798265,0.983200,0.991596,0.994462,42.982177,45.267240,45.715333,97.008687,
72,0.988926,0.979001,0.981027,0.988017,0.994345,2.264273,2.264273,0.802468,0.983118,0.991495,0.994757,43.215164,45.165634,45.707871,97.117469,
73,0.988560,0.978403,0.981984,0.988760,0.992757,2.292882,2.292882,0.803196,0.983194,0.991699,0.994763,43.234601,45.077195,45.653287,97.084882,
74,0.988956,0.977301,0.977650,0.990728,0.993954,2.547884,3.090309,0.802436,0.984203,0.991709,0.993734,43.190207,45.124275,45.512995,97.425381,
75,0.989012,0.979188,0.981170,0.988423,0.994070,2.430311,2.547884,0.805120,0.983261,0.991299,0.993768,43.292257,44.938284,45.591733,97.265486,
76,0.989234,0.976510,0.980570,0.990093,0.994132,2.430311,2.430311,0.804215,0.984075,0.991955,0.995050,43.259369,44.967962,45.496147,97.449641,
77,0.988730,0.978547,0.979212,0.989669,0.993319,2.910809,2.910809,0.804387,0.984290,0.991787,0.994610,43.268924,45.005515,45.574196,97.920635,
78,0.988374,0.977950,0.978726,0.989233,0.993080,2.166212,3.216697,0.799546,0.983321,0.991463,0.994629,43.151105,45.016878,45.591733,96.858241,
79,0.988628,0.978983,0.978413,0.988906,0.993703,2.166212,2.166212,0.801053,0.984225,0.991619,0.994132,43.177152,45.196913,45.620477,96.885043,
80,0.989124,0.978460,0.980219,0.988561,0.994506,3.001972,3.001972,0.804845,0.984356,0.991691,0.994673,43.313795,45.037675,45.755607,98.125722,
81,0.989187,0.977673,0.980193,0.990228,0.993675,3.384303,3.384303,0.799636,0.983283,0.991100,0.994583,43.173265,45.062967,45.687126,98.591034,
82,0.989212,0.979949,0.979549,0.989806,0.993864,3.830897,4.919799,0.801775,0.982275,0.990741,0.994021,43.283829,45.149388,45.672703,99.102677,
83,0.989465,0.977687,0.982479,0.988393,0.994995,3.830897,3.830897,0.800604,0.983622,0.991222,0.993716,43.244769,45.087727,45.742141,99.160707,
84,0.988549,0.978602,0.981673,0.988866,0.992835,3.615673,3.972296,0.800729,0.983226,0.991063,0.994426,43.265680,45.099989,45.763946,98.733597,
85,0.987756,0.977314,0.978256,0.987714,0.993630,3.313623,3.615673,0.799261,0.982538,0.990738,0.994117,43.190646,45.084666,45.644771,98.130360,
86,0.988315,0.979160,0.982232,0.988855,0.992406,2.353333,3.313623,0.800772,0.982661,0.990842,0.994306,43.256690,45.202148,45.728322,97.032585,
87,0.988285,0.978320,0.981195,0.988208,0.993364,1.534834,2.353333,0.795034,0.981954,0.990657,0.993670,43.090553,45.038011,45.662207,95.894339,
88,0.987981,0.978196,0.977963,0.988942,0.993277,1.534834,1.534834,0.796744,0.982893,0.990863,0.993738,43.099475,45.093853,45.642451,95.846727,
89,0.988680,0.978885,0.980521,0.987816,0.994485,1.620827,1.839335,0.796643,0.983564,0.991705,0.995075,43.155135,45.036666,45.541222,96.259836,
90,0.988901,0.977816,0.981657,0.988763,0.994145,1.620827,1.620827,0.797041,0.982339,0.990509,0.993761,43.153229,45.186114,45.638588,96.143625,
91,0.988006,0.979041,0.980917,0.986608,0.993607,1.796058,1.796058,0.798411,0.982509,0.990940,0.994036,43.159388,44.980554,45.617018,96.219934,
92,0.988390,0.977628,0.981117,0.988116,0.993766,2.019669,2.019669,0.796378,0.983335,0.991677,0.994852,43.077419,45.032298,45.510745,96.698034,
93,0.988476,0.977685,0.981895,0.987722,0.993883,2.175490,2.175490,0.798344,0.983447,0.991415,0.994564,43.121805,45.091810,45.570773,96.885873,
94,0.987849,0.977304,0.978860,0.988734,0.992967,1.414410,2.601469,0.799041,0.983395,0.991108,0.993778,43.102112,45.095898,45.646705,95.676130,
95,0.988465,0.978193,0.980938,0.988961,0.993131,1.163860,1.414410,0.799787,0.983127,0.991139,0.994033,43.206443,45.091129,45.782267,95.500583,
96,0.988479,0.979978,0.979924,0.987924,0.993857,1.163860,1.163860,0.799379,0.983082,0.991388,0.994349,43.205285,45.165287,45.747681,95.540062,
97,0.987959,0.979330,0.978662,0.987582,0.993521,1.209212,1.209212,0.798376,0.982897,0.990856,0.993982,43.169054,44.979559,45.731871,95.432838,
