Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.978218,0.960742,0.968472,0.979686,0.987261,0.000000,0.000000,0.659926,0.966485,0.982554,0.988372,37.882188,37.843237,40.049013,0.997412,90.972497,
1,0.978044,0.960430,0.967468,0.979983,0.987095,4.143696,4.183528,0.660821,0.966230,0.982170,0.987997,37.902519,37.865271,40.039025,0.997440,96.098468,
2,0.978108,0.960186,0.967525,0.979604,0.987598,4.143696,4.143696,0.660934,0.966391,0.982409,0.988071,37.884149,37.812835,40.027055,0.997456,96.129407,
3,0.978323,0.960610,0.967494,0.979956,0.987722,4.176044,4.234938,0.661267,0.966363,0.982258,0.988065,37.898204,37.831693,40.018758,0.997467,96.208491,
4,0.978107,0.960050,0.966785,0.980201,0.987417,4.176044,4.176044,0.660343,0.966358,0.982356,0.988126,37.884080,37.837801,40.032411,0.997465,96.170663,
5,0.978184,0.960023,0.966662,0.980195,0.987634,4.221173,4.221173,0.661481,0.966165,0.982292,0.988026,37.917391,37.856649,40.029252,0.997450,96.230862,
6,0.978422,0.960684,0.967689,0.979927,0.987806,4.190485,4.228703,0.661552,0.966564,0.982309,0.987926,37.906804,37.841928,40.038086,0.997507,96.239474,
7,0.978174,0.959936,0.967067,0.979656,0.987811,4.190485,4.190485,0.660445,0.966329,0.982341,0.988017,37.912672,37.881625,40.066819,0.997480,96.193509,
8,0.978523,0.959722,0.968168,0.980012,0.988118,4.246238,4.311579,0.661360,0.966478,0.982341,0.987882,37.884541,37.846779,40.019952,0.997474,96.327193,
9,0.978194,0.960459,0.967438,0.979629,0.987715,4.246238,4.246238,0.660107,0.965742,0.981771,0.987543,37.874540,37.856272,40.041055,0.997431,96.200612,
10,0.978399,0.959772,0.966829,0.980833,0.987663,4.258768,4.258768,0.659843,0.966366,0.982324,0.987932,37.869429,37.867285,40.063697,0.997444,96.318573,
11,0.978461,0.960389,0.967234,0.980743,0.987538,4.252124,4.331033,0.661089,0.966371,0.982325,0.987848,37.890399,37.828131,40.009646,0.997468,96.317114,
12,0.977905,0.960181,0.966210,0.980196,0.987090,4.252124,4.252124,0.659785,0.965805,0.981870,0.987526,37.881540,37.884256,40.061591,0.997409,96.148208,
13,0.978427,0.961538,0.967252,0.980639,0.987301,4.230080,4.309847,0.660099,0.966152,0.982179,0.987779,37.871382,37.849317,40.040859,0.997440,96.269959,
