Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
0,0.990805,0.983165,0.985155,0.991357,0.994638,0.000000,0.000000,0.843956,0.990721,0.995427,0.996653,44.570762,45.156985,45.716512,94.883102,
1,0.991635,0.983097,0.986094,0.991296,0.996024,2.057859,3.133171,0.845758,0.991073,0.995446,0.996941,44.682017,45.155257,45.746097,97.836727,
2,0.991467,0.983879,0.985886,0.992018,0.994991,2.057859,2.057859,0.844243,0.991147,0.995488,0.997254,44.685194,45.371643,45.855523,97.826931,
3,0.991154,0.983974,0.984739,0.991850,0.994842,2.230503,3.561756,0.844513,0.989809,0.994719,0.996802,44.674124,45.179508,45.765536,97.908933,
4,0.990742,0.983784,0.984036,0.990719,0.995029,1.181002,2.230503,0.847308,0.990604,0.995137,0.996937,44.768693,45.140083,45.843768,96.462427,
5,0.990851,0.982985,0.984929,0.990856,0.995035,1.181002,1.181002,0.847282,0.990543,0.995256,0.996260,44.773357,45.394216,45.775089,96.437087,
6,0.991561,0.982594,0.984537,0.992651,0.995572,2.045057,3.904366,0.847974,0.990677,0.995302,0.997202,44.803837,45.138362,45.881989,97.816839,
7,0.990691,0.981870,0.985111,0.991011,0.994680,2.045057,2.045057,0.850223,0.990220,0.994962,0.996691,44.886829,45.228068,45.672313,97.568816,
8,0.991325,0.983397,0.984224,0.992287,0.995253,2.867041,4.426156,0.848962,0.990623,0.995375,0.997144,44.822917,45.239325,45.857147,98.843618,
9,0.990850,0.983511,0.984632,0.990619,0.995174,2.128716,2.867041,0.851367,0.990298,0.994756,0.996644,44.907991,45.168405,45.906562,97.701918,
10,0.990834,0.983264,0.985426,0.991161,0.994530,2.128716,2.128716,0.849642,0.990519,0.995156,0.996341,44.865043,45.269013,45.781868,97.692600,
11,0.990806,0.983277,0.984903,0.990318,0.995272,1.544434,2.574802,0.851908,0.991299,0.995624,0.996838,44.933439,45.273626,45.786260,96.978040,
12,0.990741,0.982020,0.986939,0.990749,0.994310,1.544434,1.544434,0.849706,0.990640,0.995157,0.996629,44.840473,45.258386,45.757988,96.922545,
13,0.990929,0.983963,0.984912,0.991131,0.994842,1.624470,1.624470,0.850476,0.990588,0.995286,0.996799,44.879690,45.285001,45.737003,97.089155,
14,0.991089,0.983291,0.986159,0.991507,0.994620,2.572606,2.572606,0.850178,0.990559,0.995221,0.996797,44.879042,45.309631,45.680493,98.371890,
15,0.991695,0.983515,0.986366,0.991520,0.995867,1.603383,2.722379,0.850035,0.990631,0.995205,0.996239,44.856892,45.336202,45.761562,97.179945,
16,0.990960,0.983240,0.985755,0.990004,0.995558,1.475968,1.603383,0.850055,0.990972,0.995421,0.997047,44.839028,45.292482,45.733844,96.926412,
17,0.991192,0.983431,0.984782,0.990886,0.995854,1.475968,1.475968,0.851740,0.991356,0.995807,0.997190,44.905951,45.164249,45.580288,97.007923,
18,0.990946,0.982825,0.984356,0.990991,0.995468,2.559215,2.559215,0.849480,0.990098,0.994962,0.996705,44.812928,45.240381,45.637816,98.301552,
19,0.991503,0.983592,0.984313,0.991722,0.996081,2.403296,3.947936,0.850768,0.990182,0.994810,0.996542,44.810294,45.162518,45.546133,98.199665,
20,0.991253,0.983672,0.986149,0.990930,0.995301,2.403296,2.403296,0.851972,0.989997,0.994737,0.996340,44.881393,45.187505,45.656000,98.125088,
21,0.991266,0.981827,0.986176,0.990878,0.995775,2.849915,2.941032,0.849815,0.989768,0.994862,0.996210,44.761824,45.164941,45.681663,98.706517,
22,0.990790,0.982649,0.984954,0.991394,0.994589,2.381322,2.849915,0.849897,0.990283,0.995088,0.996560,44.809098,45.143871,45.606656,98.028952,
23,0.990424,0.982871,0.985266,0.990750,0.994002,1.791948,2.381322,0.849627,0.989983,0.994805,0.996719,44.822917,45.201101,45.601293,97.169913,
24,0.990828,0.983947,0.984441,0.991179,0.994769,1.212429,1.791948,0.851001,0.990908,0.995144,0.996589,44.877826,45.203545,45.545377,96.497319,
25,0.991054,0.982805,0.985864,0.991781,0.994570,1.212429,1.212429,0.852454,0.990886,0.995369,0.996834,44.901305,45.173953,45.760370,96.576217,
26,0.991368,0.983857,0.985659,0.991828,0.995101,2.157284,2.157284,0.851204,0.990534,0.995257,0.996742,44.860602,45.208089,45.684784,97.884169,
27,0.991525,0.982505,0.986187,0.992728,0.994961,2.491421,2.612113,0.851643,0.990867,0.995187,0.996764,44.917956,45.224556,45.726351,98.358876,
28,0.991066,0.982593,0.985267,0.991771,0.994874,2.491421,2.491421,0.849257,0.990135,0.994995,0.996542,44.793495,45.422046,45.747681,98.227341,
29,0.991034,0.982539,0.985395,0.991255,0.995131,3.066135,3.139193,0.850883,0.990717,0.995126,0.996822,44.889916,45.221749,45.722413,99.004208,
30,0.990788,0.982485,0.984683,0.990368,0.995443,3.066135,3.066135,0.849415,0.990921,0.995535,0.997222,44.830203,45.341608,45.799865,99.001057,
31,0.990968,0.981758,0.986129,0.991537,0.994613,1.656642,4.159500,0.849819,0.991114,0.995494,0.996346,44.847146,45.259448,45.927560,97.115852,
32,0.990936,0.983030,0.985529,0.990971,0.994879,1.336601,1.656642,0.849765,0.990869,0.995419,0.996550,44.861813,45.398963,45.691424,96.695300,
33,0.991682,0.982739,0.985923,0.991214,0.996283,1.325819,1.336601,0.849736,0.990850,0.995316,0.996981,44.870136,45.362213,45.698857,96.873387,
34,0.991111,0.982631,0.984367,0.992037,0.994948,1.325819,1.325819,0.849064,0.990574,0.995242,0.996983,44.838546,45.366563,45.782666,96.744354,
35,0.991417,0.983602,0.984681,0.992475,0.994926,2.290565,2.484406,0.849630,0.991185,0.995350,0.996774,44.864720,45.296406,45.678155,98.080003,
36,0.991281,0.982822,0.984495,0.992092,0.995095,1.085538,2.290565,0.849432,0.990555,0.995397,0.996898,44.895444,45.265113,45.904920,96.461004,
37,0.990946,0.983633,0.984371,0.990649,0.995178,1.085538,1.085538,0.850034,0.991096,0.995485,0.996912,44.903832,45.432712,45.707087,96.395591,
38,0.990564,0.983927,0.985310,0.990709,0.993834,0.775475,1.477428,0.847136,0.989415,0.994432,0.996000,44.773041,45.390932,45.920961,95.769333,
39,0.990754,0.981963,0.985188,0.990924,0.994564,0.775475,0.775475,0.847732,0.990249,0.995157,0.996549,44.785238,45.372370,45.601676,95.891312,
40,0.990661,0.982187,0.983975,0.990715,0.994889,0.763833,2.571862,0.850784,0.991255,0.995654,0.997174,44.904484,45.334402,45.849439,95.932534,
41,0.991554,0.982239,0.984319,0.991992,0.995900,0.763833,0.763833,0.849323,0.991333,0.995656,0.997220,44.884638,45.065335,45.704342,96.131352,
42,0.991614,0.982541,0.984750,0.991807,0.995953,1.237803,2.112758,0.849859,0.991059,0.995455,0.997056,44.882285,45.406278,45.781868,96.754647,
43,0.990633,0.983252,0.984601,0.990960,0.994220,1.151986,1.237803,0.849979,0.990942,0.995450,0.996794,44.880744,45.323256,45.917666,96.404333,
44,0.991421,0.981736,0.985831,0.991037,0.995833,0.816528,1.151986,0.849209,0.990753,0.995420,0.997024,44.876449,45.317873,45.965280,96.143798,
45,0.990624,0.983023,0.985408,0.990807,0.994050,0.816528,0.816528,0.849712,0.990538,0.995209,0.996871,44.894631,45.223503,45.825186,95.947357,
46,0.991149,0.982831,0.985979,0.991159,0.994832,1.093762,1.830254,0.850737,0.990885,0.995469,0.997282,44.933111,45.285001,45.662595,96.478806,
47,0.991046,0.982452,0.984215,0.990962,0.995442,1.093762,1.093762,0.847218,0.990659,0.995273,0.997104,44.802722,45.230879,45.644771,96.432036,
48,0.991341,0.982938,0.985107,0.992209,0.994809,1.487361,1.487361,0.850697,0.990779,0.995173,0.996587,44.906930,45.311422,45.878723,96.975897,
49,0.990619,0.982135,0.984781,0.990513,0.994637,0.819170,1.489912,0.848566,0.991040,0.995467,0.997444,44.855118,45.329365,45.686736,96.009681,
50,0.991214,0.982517,0.984764,0.991468,0.995266,0.819170,0.819170,0.848586,0.990381,0.995012,0.996341,44.860925,45.146284,45.554078,96.027356,
51,0.991504,0.982707,0.986010,0.991747,0.995247,2.090426,2.631266,0.849642,0.990484,0.995399,0.997246,44.896095,45.250610,45.710619,97.871719,
52,0.990595,0.983018,0.984857,0.990367,0.994498,1.036531,2.090426,0.848510,0.990660,0.995281,0.997103,44.875477,45.392391,45.667646,96.257634,
53,0.990998,0.984423,0.985981,0.990650,0.994511,1.036531,1.036531,0.847101,0.990425,0.995247,0.996968,44.808859,45.238620,45.656000,96.332042,
54,0.991205,0.983242,0.985472,0.990944,0.995192,1.132357,2.568333,0.850637,0.990837,0.995515,0.996767,44.946672,45.269367,45.692597,96.503145,
55,0.991166,0.982798,0.984985,0.990566,0.995637,1.132357,1.132357,0.848159,0.990831,0.995553,0.997396,44.887479,45.446360,45.791857,96.546531,
56,0.990783,0.983335,0.985639,0.990366,0.994571,2.323698,2.323698,0.847106,0.990796,0.995460,0.997018,44.849963,45.405912,45.729505,98.006627,
57,0.991262,0.982946,0.985283,0.991685,0.994919,2.968231,2.968231,0.849489,0.990879,0.995322,0.996795,44.955489,45.482715,45.687517,98.933145,
58,0.991531,0.982897,0.985512,0.990878,0.995946,2.394758,2.987564,0.850016,0.990162,0.995007,0.996388,45.025503,45.226312,45.559004,98.190738,
59,0.991770,0.983361,0.985651,0.992481,0.995211,2.192448,2.394758,0.850226,0.991452,0.995775,0.996937,45.025335,45.294622,45.574957,98.061561,
60,0.991421,0.981937,0.985656,0.991198,0.995512,2.192448,2.192448,0.847767,0.990956,0.995694,0.996940,44.874829,45.359677,45.648253,97.978460,
61,0.991530,0.983713,0.985521,0.991322,0.995311,1.668488,2.487815,0.848061,0.990518,0.994952,0.996862,44.969286,45.306768,45.669979,97.267969,
62,0.991519,0.983459,0.985038,0.991064,0.995673,1.668488,1.668488,0.847831,0.990458,0.995307,0.997092,44.965564,45.361126,45.640906,97.299678,
63,0.991759,0.983000,0.984819,0.992116,0.995718,1.629906,2.021967,0.847489,0.991153,0.995637,0.997134,44.946425,45.496520,45.672313,97.322437,
64,0.991222,0.983036,0.984958,0.990950,0.995303,1.629906,1.629906,0.844514,0.990312,0.995090,0.996902,44.846583,45.437502,45.882397,97.157406,
65,0.991850,0.983430,0.985597,0.992058,0.995687,1.959605,2.164083,0.846879,0.990730,0.995322,0.996690,44.958212,45.341608,45.801067,97.726831,
66,0.991447,0.982318,0.985201,0.991911,0.995307,1.550406,1.959605,0.846923,0.990271,0.994829,0.996362,44.938859,45.415805,45.744514,97.046210,
67,0.991705,0.982993,0.984862,0.991660,0.996080,1.550406,1.550406,0.846571,0.990340,0.995070,0.996653,44.931716,45.371643,45.635500,97.136912,
68,0.991360,0.983256,0.986701,0.990323,0.995465,1.431208,1.658561,0.845421,0.990292,0.995261,0.996991,44.881960,45.456716,45.605890,96.938664,
69,0.991143,0.982487,0.986079,0.990033,0.995569,1.431208,1.431208,0.847002,0.989999,0.994729,0.996700,44.946590,45.451165,45.768718,96.842870,
70,0.991271,0.982942,0.986430,0.991474,0.994645,2.299395,2.299395,0.845392,0.990107,0.994762,0.996122,44.880258,45.454124,45.743723,97.974194,
71,0.991270,0.982483,0.985208,0.991379,0.995205,2.264273,2.389558,0.844900,0.990280,0.995164,0.996847,44.873453,45.405912,45.773894,98.004644,
72,0.991425,0.983619,0.985458,0.991887,0.994821,2.264273,2.264273,0.845449,0.990495,0.995196,0.997019,44.866983,45.429399,45.782666,98.054825,
73,0.990879,0.983207,0.985476,0.990348,0.994655,2.292882,2.292882,0.847250,0.989961,0.994878,0.996485,44.926469,45.468953,45.775487,97.914180,
74,0.991542,0.982712,0.984880,0.991886,0.995351,2.547884,3.090309,0.845212,0.990599,0.995248,0.996488,44.884800,45.236508,45.860804,98.413219,
75,0.991473,0.981724,0.984522,0.991260,0.995958,2.430311,2.547884,0.846184,0.990381,0.995188,0.996766,44.917302,45.439346,45.779075,98.262832,
76,0.991537,0.982442,0.985799,0.991435,0.995370,2.430311,2.430311,0.847116,0.991171,0.995540,0.997099,44.905707,45.302835,45.567733,98.323586,
77,0.991164,0.982757,0.984798,0.990815,0.995178,2.910809,2.910809,0.847165,0.990793,0.995365,0.996617,44.938284,45.400060,45.575718,98.822683,
78,0.991736,0.982551,0.985363,0.991987,0.995503,2.166212,3.216697,0.845545,0.990721,0.995535,0.997119,44.914523,45.280021,45.620093,98.018149,
79,0.992129,0.983886,0.985852,0.992268,0.995728,2.166212,2.166212,0.846540,0.990791,0.995205,0.996535,44.965564,45.317514,45.843363,98.043054,
80,0.991538,0.982825,0.985707,0.990995,0.995513,3.001972,3.001972,0.847187,0.990408,0.995101,0.996880,44.963993,45.345577,45.725957,99.030872,
81,0.992109,0.982179,0.985455,0.991734,0.996465,3.384303,3.384303,0.845795,0.990285,0.994879,0.996912,44.950378,45.268304,45.717691,99.644053,
82,0.992056,0.983268,0.984660,0.992406,0.996029,3.830897,4.919799,0.846085,0.990685,0.995403,0.997119,45.035742,45.448207,45.828815,100.000000,
