Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.573688,0.695463,0.505735,0.520982,0.617991,0.000000,0.000000,0.071010,0.166056,0.229679,0.261955,16.010176,20.462684,21.447117,0.533819,3.640125,
1,0.577150,0.687929,0.512345,0.518404,0.628087,4.143696,4.183528,0.071635,0.166320,0.229828,0.263723,15.974853,20.497167,21.424637,0.533106,6.262737,
2,0.576256,0.685271,0.502881,0.519604,0.629900,4.143696,4.143696,0.071543,0.167866,0.232885,0.267961,16.023523,20.358808,21.446994,0.535455,6.060871,
3,0.570706,0.690290,0.503599,0.510427,0.621165,4.176044,4.234938,0.070857,0.165582,0.229699,0.263090,15.973727,20.369909,21.414767,0.531605,5.705226,
4,0.566099,0.693529,0.505729,0.510843,0.606171,4.176044,4.176044,0.070760,0.163366,0.225444,0.257911,15.978584,20.425763,21.425046,0.528561,5.440561,
5,0.570499,0.690949,0.516837,0.515622,0.608266,4.221173,4.221173,0.070585,0.161833,0.223488,0.255319,16.047881,20.432332,21.437415,0.530354,5.992941,
6,0.569197,0.688898,0.513633,0.507826,0.613387,4.190485,4.228703,0.070734,0.162824,0.224981,0.256771,16.000996,20.530852,21.442651,0.529624,5.776324,
7,0.576619,0.695011,0.507487,0.519174,0.624625,4.190485,4.190485,0.071576,0.163636,0.225861,0.256655,16.036003,20.486010,21.457487,0.534555,6.421960,
8,0.570323,0.690584,0.502261,0.519179,0.613082,4.246238,4.311579,0.069909,0.162569,0.224021,0.253478,15.939537,20.420850,21.446791,0.530275,5.951540,
9,0.574410,0.689675,0.507164,0.519811,0.621308,4.246238,4.246238,0.071222,0.164748,0.228794,0.261005,15.998018,20.405783,21.447107,0.533787,6.149046,
10,0.579700,0.689481,0.507942,0.523771,0.631746,4.258768,4.258768,0.071424,0.165098,0.229205,0.259999,16.010577,20.358376,21.443616,0.533340,6.639976,
11,0.576192,0.689493,0.509757,0.524878,0.620847,4.252124,4.331033,0.071371,0.164736,0.227901,0.256307,16.007636,20.445136,21.474170,0.533984,6.328640,
12,0.569257,0.690666,0.499515,0.518560,0.612379,4.252124,4.252124,0.071275,0.163744,0.225444,0.253548,15.975813,20.413798,21.429001,0.531478,5.752203,
13,0.568087,0.683438,0.505643,0.520936,0.606617,4.230080,4.309847,0.070588,0.164244,0.226496,0.254542,16.016028,20.526836,21.408227,0.533061,5.595211,
14,0.568512,0.684763,0.512516,0.519969,0.604507,4.230080,4.230080,0.070406,0.164273,0.226682,0.254206,16.041786,20.422806,21.457342,0.534002,5.632706,
15,0.573050,0.692024,0.516472,0.527140,0.606181,4.266311,4.266311,0.069431,0.162042,0.223984,0.253594,15.989189,20.478130,21.434411,0.529374,6.256161,
16,0.570989,0.693176,0.525637,0.519504,0.601885,4.177805,4.289475,0.069236,0.161024,0.223281,0.254956,15.968719,20.462682,21.453545,0.528452,6.074394,
17,0.573635,0.688341,0.508269,0.514209,0.623518,4.177805,4.177805,0.068328,0.160251,0.223934,0.258803,16.031157,20.457473,21.461152,0.527586,6.372118,
18,0.570013,0.690577,0.512211,0.504350,0.620157,4.277810,4.289626,0.068148,0.159434,0.222177,0.257583,15.955402,20.456712,21.480326,0.525661,6.155769,
19,0.568531,0.691997,0.523801,0.502157,0.611653,4.277810,4.277810,0.069156,0.160756,0.223934,0.257751,15.959191,20.416758,21.458988,0.527461,5.904949,
20,0.567954,0.689913,0.518317,0.503863,0.612079,4.225203,4.298135,0.069575,0.161530,0.223861,0.256192,15.921376,20.451875,21.449807,0.527187,5.775519,
21,0.571571,0.690672,0.511714,0.511507,0.618215,4.225203,4.225203,0.070523,0.164200,0.227249,0.259724,15.966361,20.305971,21.431307,0.532883,5.924590,
22,0.568759,0.693013,0.505200,0.513614,0.611724,4.313762,4.372040,0.071570,0.165917,0.229354,0.261808,15.947443,20.373582,21.460433,0.533278,5.576798,
23,0.559337,0.688559,0.501672,0.499649,0.602076,4.313762,4.313762,0.070839,0.165398,0.229210,0.262028,15.911931,20.425756,21.470549,0.532344,4.719679,
24,0.561836,0.688659,0.507672,0.502005,0.603180,4.266847,4.331925,0.070438,0.164366,0.228442,0.261211,15.935066,20.468151,21.490391,0.531914,4.995639,
25,0.571547,0.686947,0.508475,0.506195,0.624500,4.266847,4.266847,0.070874,0.165477,0.230048,0.262133,15.976381,20.619302,21.464970,0.534538,5.834977,
26,0.575027,0.679857,0.511942,0.505619,0.634660,4.299096,4.392347,0.070680,0.165545,0.229733,0.258342,15.963503,20.632614,21.458799,0.532269,6.185351,
27,0.573361,0.682854,0.518843,0.503786,0.628615,4.299096,4.299096,0.071266,0.166493,0.230277,0.260836,15.946658,20.469138,21.457232,0.535657,5.967921,
28,0.566462,0.688122,0.516075,0.504014,0.610288,4.295869,4.379281,0.071856,0.167694,0.231497,0.260438,15.943864,20.447759,21.480392,0.537935,5.215589,
29,0.566949,0.689295,0.514851,0.507307,0.608922,4.295869,4.295869,0.071106,0.166120,0.229789,0.259357,15.961283,20.421906,21.458756,0.536830,5.376370,
30,0.568077,0.691767,0.522170,0.510648,0.605019,4.359880,4.380836,0.071447,0.164932,0.227488,0.257395,15.989888,20.427636,21.468517,0.537731,5.612379,
31,0.563796,0.690875,0.514338,0.512488,0.596671,4.318992,4.359880,0.071601,0.165557,0.227225,0.254200,15.943442,20.457507,21.474841,0.536205,5.149475,
32,0.576695,0.698088,0.521662,0.511298,0.626017,4.238091,4.318992,0.072573,0.167223,0.229686,0.257874,15.981455,20.414811,21.468467,0.539891,6.206148,
33,0.579199,0.691670,0.515086,0.519055,0.630940,4.238091,4.238091,0.073082,0.168307,0.231630,0.260505,16.031553,20.521180,21.469998,0.542018,6.362776,
34,0.577189,0.689664,0.511511,0.524826,0.622509,4.321673,4.336400,0.071706,0.166346,0.229182,0.257963,15.998434,20.405300,21.456835,0.538762,6.365740,
35,0.579453,0.689967,0.520365,0.527911,0.620516,4.252666,4.321673,0.071336,0.165153,0.227935,0.258519,16.006541,20.420192,21.430357,0.535654,6.630600,
36,0.581449,0.696380,0.523140,0.525362,0.623867,4.252666,4.252666,0.072492,0.165898,0.228775,0.258895,16.013358,20.428511,21.438585,0.535405,6.760165,
37,0.578396,0.684080,0.514808,0.520161,0.628555,4.216132,4.528132,0.069458,0.162485,0.225412,0.255815,15.973113,20.356819,21.405040,0.529534,6.698044,
38,0.571736,0.690589,0.517421,0.511496,0.615159,4.216132,4.216132,0.070841,0.164297,0.227363,0.258339,16.048790,20.353009,21.415203,0.534639,5.920998,
39,0.569493,0.690548,0.507319,0.510222,0.615794,4.366410,4.366410,0.071206,0.164103,0.227259,0.258206,15.987445,20.475622,21.401999,0.532937,5.799881,
40,0.561630,0.686771,0.508639,0.508881,0.596372,4.252495,4.404760,0.070618,0.163711,0.227393,0.259601,15.964214,20.448982,21.417655,0.533580,5.013450,
41,0.564845,0.689273,0.512516,0.500467,0.609334,4.252495,4.252495,0.072017,0.164674,0.227423,0.258239,15.934197,20.241443,21.416375,0.534164,5.249714,
42,0.566587,0.683119,0.506367,0.498904,0.620553,4.352244,4.453195,0.072107,0.165565,0.228114,0.258905,15.969767,20.350422,21.405870,0.536576,5.418136,
43,0.566126,0.693458,0.514480,0.503402,0.607292,4.317799,4.352244,0.073064,0.166704,0.228902,0.259257,15.984036,20.413403,21.411051,0.539792,5.273170,
44,0.561921,0.685233,0.505636,0.506525,0.599915,4.317799,4.317799,0.072776,0.167517,0.230015,0.261455,15.923406,20.324272,21.427122,0.538575,4.822722,
45,0.570001,0.685424,0.505001,0.509203,0.619964,4.329440,4.403574,0.072829,0.167352,0.228790,0.256771,15.909423,20.358466,21.401408,0.538713,5.619572,
46,0.566226,0.686324,0.505156,0.502848,0.614985,4.296791,4.329440,0.072904,0.167402,0.229901,0.259246,15.906319,20.472978,21.412780,0.537601,5.220671,
47,0.573334,0.690584,0.516270,0.510829,0.620699,4.296791,4.296791,0.072914,0.167921,0.230914,0.260500,15.956509,20.464331,21.391222,0.538039,5.861787,
48,0.569797,0.690059,0.516833,0.506775,0.614478,4.303929,4.407040,0.072037,0.165818,0.228448,0.258587,15.944601,20.430914,21.376322,0.537309,5.678574,
49,0.566143,0.691682,0.521871,0.507966,0.600557,4.282989,4.303929,0.072340,0.166381,0.228704,0.259373,15.975039,20.408931,21.383477,0.537091,5.283543,
50,0.568904,0.688307,0.519015,0.513932,0.606247,4.282989,4.282989,0.071608,0.165537,0.226614,0.256242,15.955970,20.267992,21.394334,0.536406,5.629926,
51,0.573989,0.692950,0.517874,0.522191,0.611981,4.297048,4.297740,0.072201,0.166390,0.228694,0.261258,15.975190,20.231581,21.417274,0.538166,6.050210,
52,0.572169,0.684971,0.519921,0.512005,0.617036,4.297048,4.297048,0.071201,0.164965,0.226575,0.256030,15.925627,20.249142,21.405560,0.534038,5.983340,
53,0.573023,0.692152,0.513983,0.516098,0.616647,4.307144,4.307144,0.071984,0.165458,0.227156,0.258738,15.989111,20.364332,21.399968,0.535916,6.032449,
54,0.561071,0.685188,0.500124,0.499535,0.608016,4.347281,4.347281,0.069814,0.162080,0.222745,0.253916,15.898251,20.240692,21.378213,0.529244,5.184569,
55,0.566957,0.690604,0.507546,0.508137,0.609930,4.337226,4.352931,0.070324,0.163393,0.225951,0.257093,15.984609,20.163865,21.400683,0.531339,5.609106,
56,0.576558,0.685141,0.504985,0.510551,0.635063,4.337226,4.337226,0.070417,0.164022,0.226882,0.256491,15.994351,20.226958,21.413308,0.532665,6.479859,
57,0.563954,0.688842,0.501502,0.507600,0.606076,4.376933,4.376933,0.070332,0.165111,0.228192,0.257310,16.013201,20.277154,21.434278,0.532552,5.223405,
58,0.566345,0.682843,0.501280,0.518627,0.605130,4.410045,4.410045,0.071359,0.165854,0.230008,0.263851,16.062365,20.307648,21.439857,0.534548,5.400825,
59,0.571745,0.685526,0.500136,0.513752,0.623000,4.426474,4.503894,0.071048,0.165259,0.227898,0.259536,15.975774,20.367095,21.418687,0.531733,5.989481,
60,0.563005,0.687496,0.498572,0.517685,0.595988,4.426474,4.426474,0.071208,0.164876,0.227227,0.257262,15.935096,20.340363,21.428667,0.530729,5.179964,
61,0.562965,0.688934,0.501901,0.516138,0.595186,4.477408,4.477408,0.071125,0.164080,0.226325,0.258159,16.000488,20.390816,21.426256,0.531345,5.263664,
62,0.575893,0.687187,0.508903,0.522450,0.619820,4.526395,4.526395,0.070697,0.164362,0.227095,0.257544,15.965690,20.487613,21.387259,0.532123,6.505509,
63,0.575594,0.693202,0.508731,0.518070,0.621101,4.550384,4.569063,0.072444,0.166495,0.230567,0.263709,16.051090,20.394481,21.419097,0.537112,6.318689,
64,0.572497,0.694769,0.509926,0.530123,0.603388,4.440232,4.550384,0.071575,0.165448,0.229656,0.263541,16.002406,20.291299,21.444201,0.535139,6.031120,
65,0.576346,0.686673,0.510637,0.528999,0.616444,4.440232,4.440232,0.072407,0.167657,0.233159,0.269837,16.077023,20.343822,21.420620,0.538719,6.243963,
66,0.581073,0.682537,0.510620,0.531485,0.627963,4.486765,4.521574,0.071566,0.168155,0.234039,0.268572,16.057656,20.279057,21.427635,0.536828,6.702261,
