Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
0,0.931353,0.880445,0.877891,0.930689,0.966896,0.000000,0.000000,0.508180,0.893695,0.948679,0.960679,32.483993,41.635544,44.066692,77.537089,
1,0.932409,0.880915,0.875359,0.931053,0.967594,2.057859,3.133171,0.515172,0.896286,0.952201,0.965084,33.166523,41.802149,44.062661,80.695969,
2,0.939104,0.885234,0.882440,0.936785,0.975205,2.057859,2.057859,0.523491,0.918274,0.965294,0.975219,33.500512,42.282004,44.091229,83.468414,
3,0.941637,0.890659,0.883864,0.942434,0.975557,2.230503,3.561756,0.527772,0.919579,0.965814,0.975049,33.639525,41.917808,44.118899,84.215484,
4,0.942440,0.885685,0.884309,0.945457,0.976411,1.181002,2.230503,0.528956,0.918733,0.966079,0.975079,33.622172,41.963954,43.984393,83.133981,
5,0.944005,0.883656,0.883996,0.945964,0.980421,1.181002,1.181002,0.532010,0.921361,0.966793,0.976008,33.740737,42.418179,43.966489,83.567421,
6,0.940148,0.884666,0.875780,0.942409,0.976260,2.045057,3.904366,0.535908,0.925009,0.969433,0.977761,33.758471,41.860968,43.828910,84.038297,
7,0.943622,0.891100,0.882897,0.944595,0.978830,2.045057,2.045057,0.541499,0.924680,0.969880,0.978194,33.883549,41.982051,43.898707,84.820552,
8,0.947800,0.891454,0.890582,0.953612,0.979100,2.867041,4.426156,0.551572,0.939456,0.975275,0.981120,34.162584,41.891005,43.784087,87.178269,
9,0.946044,0.886502,0.901201,0.947213,0.976698,2.128716,2.867041,0.542350,0.921527,0.966624,0.976996,33.936372,41.938678,43.767741,85.196267,
10,0.945884,0.890118,0.897542,0.944056,0.979567,2.128716,2.128716,0.545124,0.928195,0.970294,0.978453,33.985026,42.007247,43.920231,85.441517,
11,0.941891,0.890349,0.895617,0.937840,0.975323,1.544434,2.574802,0.538734,0.919840,0.966979,0.976435,33.782386,42.003400,43.810621,83.582244,
12,0.944960,0.888309,0.896872,0.944678,0.977832,1.544434,1.544434,0.542867,0.926268,0.970379,0.978848,33.880624,42.092248,43.902589,84.574281,
13,0.943089,0.887157,0.897484,0.945773,0.972640,1.624470,1.624470,0.537442,0.920639,0.966744,0.977601,33.775774,41.972412,43.766236,84.019954,
14,0.944206,0.889697,0.895436,0.941578,0.978790,2.572606,2.572606,0.538900,0.927752,0.970122,0.978351,33.821808,41.872796,43.692595,85.611277,
15,0.943571,0.887305,0.887826,0.944022,0.978666,1.603383,2.722379,0.541391,0.923174,0.967610,0.976715,33.850755,42.124450,43.715598,84.059713,
16,0.942899,0.890585,0.890819,0.941473,0.977111,1.475968,1.603383,0.538493,0.922509,0.966760,0.975851,33.711223,42.115519,43.729508,83.662830,
17,0.943555,0.894909,0.891875,0.942137,0.977094,1.475968,1.475968,0.537522,0.920594,0.966089,0.975199,33.786014,42.006243,43.827892,83.721379,
18,0.943940,0.884798,0.890873,0.942904,0.979910,2.559215,2.559215,0.537876,0.923439,0.968906,0.978804,33.723417,41.980055,43.743463,85.516519,
19,0.939384,0.888403,0.880408,0.933807,0.978955,2.403296,3.947936,0.529958,0.904581,0.958866,0.970655,33.544872,42.110204,43.658440,83.278155,
20,0.937537,0.885075,0.882700,0.929428,0.977550,2.403296,2.403296,0.523319,0.907703,0.961329,0.972491,33.415811,42.138915,43.694322,83.151022,
21,0.939865,0.883627,0.882203,0.939487,0.976208,2.849915,2.941032,0.529038,0.921494,0.967902,0.978927,33.468789,42.269721,43.682000,84.973016,
22,0.939088,0.882065,0.889767,0.932997,0.976810,2.381322,2.849915,0.530312,0.912477,0.963983,0.974281,33.543406,42.103526,43.631357,83.700088,
23,0.943847,0.888211,0.887294,0.948308,0.976085,1.791948,2.381322,0.534669,0.920266,0.965412,0.974974,33.689574,42.474278,43.782827,84.123637,
24,0.942606,0.888652,0.888590,0.945145,0.975241,1.212429,1.791948,0.535498,0.923735,0.968823,0.977564,33.702078,42.531488,43.700743,83.513776,
25,0.943619,0.883382,0.888932,0.948695,0.976228,1.212429,1.212429,0.535016,0.926250,0.970190,0.978870,33.685398,42.281113,43.634763,83.896679,
26,0.941703,0.888145,0.880542,0.944218,0.977015,2.157284,2.157284,0.539360,0.922365,0.967169,0.975054,33.698483,42.231491,43.694322,84.181881,
27,0.942444,0.890568,0.891114,0.940894,0.976833,2.491421,2.612113,0.538051,0.921400,0.967544,0.977267,33.774812,42.267410,43.651104,84.932513,
28,0.943090,0.887174,0.888619,0.944503,0.977154,2.491421,2.491421,0.538042,0.924337,0.968745,0.978447,33.753983,42.503445,43.817725,85.220058,
29,0.942342,0.890794,0.886446,0.944713,0.975254,3.066135,3.139193,0.537398,0.915936,0.964998,0.975589,33.764605,42.339611,43.829674,85.346775,
30,0.942604,0.891612,0.884787,0.946899,0.974292,3.066135,3.066135,0.538398,0.920135,0.966069,0.976939,33.771866,42.440310,43.773769,85.560045,
31,0.947688,0.890979,0.896467,0.951630,0.978378,1.656642,4.159500,0.544298,0.923984,0.967758,0.977082,34.030198,42.245611,43.925433,85.032318,
32,0.942151,0.890178,0.887873,0.944666,0.973881,1.336601,1.656642,0.539261,0.921965,0.966885,0.977486,33.791639,42.186613,43.812903,83.467283,
33,0.941933,0.882696,0.886797,0.944991,0.974651,1.325819,1.336601,0.540033,0.922828,0.966395,0.974695,33.820455,42.905719,43.787111,83.165711,
34,0.945739,0.889873,0.885926,0.951354,0.977248,1.325819,1.325819,0.539370,0.926172,0.968894,0.977837,33.892555,42.612101,43.901295,84.338380,
35,0.947827,0.888143,0.886504,0.956438,0.977952,2.290565,2.484406,0.546088,0.921584,0.966365,0.976641,34.017345,42.693258,43.667751,85.725488,
36,0.946476,0.885766,0.898716,0.948938,0.975889,1.085538,2.290565,0.544108,0.920541,0.966745,0.976060,34.062930,42.544915,43.825857,83.950781,
37,0.948949,0.887811,0.892515,0.953693,0.979794,1.085538,1.085538,0.546463,0.934121,0.973193,0.980706,34.107328,42.497446,43.682985,85.142332,
38,0.947803,0.888176,0.883857,0.949929,0.982742,0.775475,1.477428,0.545243,0.935145,0.975188,0.982598,34.001676,42.572274,43.713366,84.760219,
39,0.948211,0.890064,0.886909,0.950166,0.981771,0.775475,0.775475,0.547619,0.937746,0.975510,0.982707,34.076228,42.292714,43.759466,84.869863,
40,0.949557,0.884958,0.894052,0.951617,0.982312,0.763833,2.571862,0.549217,0.936978,0.975383,0.983188,34.148971,42.394514,43.741217,85.170402,
41,0.948971,0.884456,0.886829,0.955256,0.981214,0.763833,0.763833,0.549452,0.939631,0.977098,0.984197,34.116919,42.343587,43.794681,85.205094,
42,0.949345,0.889646,0.885920,0.953878,0.982369,1.237803,2.112758,0.552879,0.938196,0.975211,0.983650,34.223030,42.369885,43.786355,85.729659,
43,0.950122,0.891300,0.890328,0.957197,0.979983,1.151986,1.237803,0.550669,0.939483,0.975617,0.982257,34.158792,42.436983,43.921271,85.704747,
44,0.946063,0.889738,0.887824,0.948940,0.977628,0.816528,1.151986,0.547879,0.926404,0.970095,0.979806,34.129866,42.436983,43.851369,83.976292,
45,0.948996,0.886718,0.893600,0.956615,0.977443,0.816528,0.816528,0.552316,0.937700,0.974550,0.981551,34.237940,42.402755,43.649393,84.943897,
46,0.948148,0.891551,0.888559,0.952830,0.978956,1.093762,1.830254,0.548123,0.934938,0.972990,0.980717,34.110525,42.433105,43.767490,84.971875,
47,0.948238,0.892752,0.885845,0.951134,0.980934,1.093762,1.093762,0.544048,0.935443,0.974837,0.983065,34.039373,42.584107,43.856234,85.267129,
48,0.948536,0.894963,0.890561,0.949737,0.980181,1.487361,1.487361,0.549881,0.932294,0.972513,0.980861,34.204041,42.259777,43.676344,85.516434,
49,0.947766,0.890481,0.887976,0.949898,0.980299,0.819170,1.489912,0.545220,0.925670,0.968455,0.976654,34.097474,42.410277,43.852393,84.026446,
50,0.946627,0.893323,0.888054,0.945471,0.980291,0.819170,0.819170,0.544828,0.922302,0.966943,0.976293,34.080987,42.333473,43.755460,83.686187,
51,0.948847,0.888744,0.890697,0.952524,0.980503,2.090426,2.631266,0.547055,0.937630,0.975109,0.982971,34.107545,42.417260,43.876517,86.611016,
52,0.948833,0.889965,0.892325,0.949484,0.981865,1.036531,2.090426,0.550832,0.939948,0.974947,0.982450,34.182041,42.826793,43.904402,85.275341,
53,0.948587,0.895014,0.896950,0.946284,0.980782,1.036531,1.036531,0.544334,0.932669,0.972177,0.980020,34.071999,42.782757,43.704452,84.908712,
54,0.949943,0.887443,0.897464,0.954078,0.979624,1.132357,2.568333,0.550499,0.939383,0.974758,0.981696,34.286075,42.489398,43.688157,85.560834,
55,0.950071,0.890858,0.896281,0.954176,0.979561,1.132357,1.132357,0.550460,0.938627,0.974584,0.981693,34.224361,42.539236,43.576010,85.578777,
56,0.950653,0.890389,0.891161,0.955146,0.982462,2.323698,2.323698,0.548592,0.938321,0.974577,0.982083,34.199624,42.907160,43.739970,87.184253,
57,0.952779,0.897359,0.899536,0.955179,0.982233,2.968231,2.968231,0.565496,0.944486,0.976459,0.982804,34.711783,42.268121,43.838849,88.545519,
58,0.953524,0.901184,0.904878,0.954370,0.981438,2.394758,2.987564,0.567110,0.943947,0.975561,0.982037,34.794544,42.959561,43.758715,87.908447,
59,0.953588,0.893366,0.903025,0.958488,0.980712,2.192448,2.394758,0.562363,0.944386,0.976177,0.981940,34.738677,42.525639,43.875745,87.703811,
60,0.954570,0.898192,0.901812,0.960583,0.980467,2.192448,2.192448,0.568740,0.947999,0.978233,0.983789,34.856069,43.079775,43.875488,88.150924,
61,0.954693,0.900689,0.899935,0.953517,0.985175,1.668488,2.487815,0.565241,0.946073,0.977446,0.983069,34.778676,43.184497,43.839870,87.446811,
62,0.955463,0.901099,0.902065,0.954566,0.985368,1.668488,1.668488,0.567609,0.944983,0.977266,0.983876,34.913902,43.250391,43.944998,87.661487,
63,0.955230,0.898057,0.905070,0.956937,0.983170,1.629906,2.021967,0.568780,0.947638,0.978319,0.984757,34.981152,42.940433,43.832730,87.685290,
64,0.957400,0.902368,0.906982,0.959017,0.985465,1.629906,1.629906,0.571841,0.950868,0.979958,0.986153,35.097772,43.155844,44.034012,88.337327,
65,0.955514,0.902794,0.901373,0.958830,0.983535,1.959605,2.164083,0.568372,0.946584,0.976571,0.982579,34.970403,42.884573,43.940294,87.897611,
66,0.954878,0.901882,0.906978,0.958133,0.981084,1.550406,1.959605,0.566431,0.944423,0.976001,0.983314,34.928477,43.296534,43.949968,87.292418,
67,0.955982,0.901896,0.903873,0.957586,0.985391,1.550406,1.550406,0.567634,0.947954,0.978515,0.984960,34.980579,42.835897,43.913477,87.776595,
68,0.955730,0.899344,0.907623,0.958240,0.983501,1.431208,1.658561,0.564839,0.948707,0.978596,0.985877,34.922227,43.188449,43.674624,87.659965,
69,0.954908,0.900950,0.908583,0.958216,0.981000,1.431208,1.431208,0.567502,0.947485,0.977902,0.984399,34.970205,42.711719,43.764981,87.327736,
70,0.954777,0.904148,0.906599,0.955299,0.982541,2.299395,2.299395,0.570467,0.944607,0.976227,0.982321,34.984455,42.996391,43.839870,88.109762,
71,0.954808,0.898526,0.903983,0.955891,0.984059,2.264273,2.389558,0.564520,0.942570,0.974674,0.981294,34.891801,42.712506,43.882441,87.928211,
72,0.956722,0.901590,0.905491,0.961683,0.982768,2.264273,2.264273,0.571322,0.950217,0.978938,0.985348,35.038928,43.255742,43.850090,88.857694,
73,0.955924,0.900314,0.904322,0.960596,0.981820,2.292882,2.292882,0.567666,0.946332,0.977969,0.984540,34.987387,42.664349,43.953372,88.609563,
74,0.956043,0.897484,0.905494,0.959957,0.982368,2.547884,3.090309,0.569734,0.951526,0.978295,0.983733,34.927993,43.434257,44.040422,88.905370,
75,0.955866,0.898813,0.902740,0.959506,0.983018,2.430311,2.547884,0.573964,0.949505,0.978374,0.984259,35.054486,43.429843,44.007142,88.758568,
76,0.956688,0.902701,0.904389,0.957403,0.984647,2.430311,2.430311,0.571320,0.944594,0.976597,0.983518,35.000736,43.486403,43.798218,88.789517,
77,0.956780,0.902860,0.904081,0.959554,0.983256,2.910809,2.910809,0.574127,0.950286,0.978779,0.985434,35.051719,43.615575,43.880380,89.651268,
78,0.957888,0.904126,0.904250,0.959953,0.984947,2.166212,3.216697,0.574468,0.949526,0.979249,0.985188,35.159180,43.467390,44.016966,88.982957,
79,0.957278,0.903502,0.907765,0.957916,0.983726,2.166212,2.166212,0.572840,0.945679,0.976660,0.983493,35.106065,43.606134,43.899483,88.595874,
80,0.958228,0.903422,0.898165,0.961232,0.986880,3.001972,3.001972,0.572989,0.950913,0.979822,0.985471,35.071244,43.620668,43.896897,90.124868,
81,0.957728,0.902784,0.904875,0.960679,0.983676,3.384303,3.384303,0.580642,0.949437,0.977693,0.983665,35.223319,43.838084,44.170638,90.228321,
82,0.957735,0.901689,0.902579,0.958996,0.986331,3.830897,4.919799,0.577013,0.949017,0.978772,0.986031,35.260510,43.809354,44.281934,91.004565,
83,0.958879,0.902227,0.906324,0.959989,0.987930,3.830897,3.830897,0.574019,0.949474,0.979067,0.984544,35.167088,43.556362,44.261357,91.149246,
84,0.955378,0.902294,0.898617,0.958539,0.984175,3.615673,3.972296,0.571688,0.943991,0.976844,0.983536,35.046081,43.406684,44.278263,89.947913,
85,0.954938,0.902908,0.904727,0.956009,0.984349,3.313623,3.615673,0.575090,0.948563,0.978444,0.984530,35.153910,43.220859,44.259670,89.648378,
86,0.955719,0.902356,0.903048,0.960794,0.984796,2.353333,3.313623,0.571216,0.947872,0.978412,0.984713,35.100688,43.337485,44.101788,88.670846,
87,0.952129,0.901220,0.906349,0.954619,0.979595,1.534834,2.353333,0.567620,0.942390,0.976473,0.984111,35.063212,43.550390,44.183601,86.761630,
88,0.956105,0.906987,0.905150,0.960881,0.982977,1.534834,1.534834,0.572987,0.947845,0.978727,0.985846,35.167114,43.572889,44.122710,87.854392,
89,0.953180,0.906207,0.898690,0.953817,0.983218,1.620827,1.839335,0.566990,0.946541,0.978278,0.985197,35.002629,43.597919,44.240598,87.268470,
90,0.953133,0.905701,0.900994,0.957063,0.980051,1.620827,1.620827,0.562433,0.942129,0.975541,0.983637,34.939574,43.749957,44.311703,87.012077,
91,0.955664,0.900787,0.903292,0.960121,0.984138,1.796058,1.796058,0.558816,0.943525,0.976336,0.983357,34.948137,43.404836,44.187470,87.790029,
