Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
0,0.985824,0.979069,0.981185,0.986841,0.988659,0.000000,0.000000,0.825674,0.980740,0.989375,0.991626,42.888004,46.973900,47.668296,93.088385,
1,0.989269,0.982306,0.986464,0.989690,0.991685,2.057859,3.133171,0.842827,0.987746,0.993257,0.995448,44.413378,46.971275,47.708535,97.085204,
2,0.991747,0.984257,0.987916,0.992642,0.994324,2.057859,2.057859,0.857910,0.990410,0.994747,0.996264,45.050050,47.328836,48.195718,97.776001,
3,0.991194,0.983359,0.986427,0.991216,0.994876,2.230503,3.561756,0.848253,0.989594,0.994720,0.996550,44.514509,46.775783,47.818122,97.897620,
4,0.990647,0.981979,0.984596,0.991251,0.994626,1.181002,2.230503,0.846359,0.989437,0.994785,0.996673,44.353868,47.437898,48.001819,96.399019,
5,0.990936,0.981733,0.986517,0.991622,0.994342,1.181002,1.181002,0.851495,0.989452,0.994719,0.996013,44.537447,47.428559,48.160378,96.406531,
6,0.990134,0.980003,0.985133,0.990970,0.993816,2.045057,3.904366,0.838991,0.988070,0.993586,0.995601,44.032078,46.704622,47.714136,97.284826,
7,0.990282,0.980405,0.983618,0.990736,0.994843,2.045057,2.045057,0.852060,0.988937,0.994094,0.995851,44.595215,47.253137,48.039912,97.367705,
8,0.990584,0.982022,0.985674,0.990536,0.994538,2.867041,4.426156,0.855617,0.989210,0.994464,0.995931,44.773357,47.284048,48.068872,98.539762,
9,0.990557,0.980633,0.985281,0.990718,0.994836,2.128716,2.867041,0.858910,0.989722,0.994810,0.996616,44.922783,47.956149,48.423538,97.637813,
10,0.991808,0.980967,0.987287,0.993548,0.994893,2.128716,2.128716,0.862395,0.991223,0.995496,0.997001,45.168492,48.188071,48.766701,97.981506,
11,0.991244,0.982461,0.986428,0.991599,0.994962,1.544434,2.574802,0.861432,0.991206,0.995281,0.996472,45.179421,47.870741,48.677169,97.030346,
12,0.990710,0.982394,0.984819,0.992380,0.993819,1.544434,1.544434,0.858333,0.990836,0.994893,0.996163,45.006683,47.623545,48.031195,96.869122,
13,0.990848,0.981511,0.985161,0.992071,0.994438,1.624470,1.624470,0.855198,0.989899,0.994711,0.996802,44.875882,47.649236,48.112336,97.043413,
14,0.990209,0.981161,0.985884,0.990696,0.993734,2.572606,2.572606,0.848549,0.988337,0.993648,0.995921,44.536623,47.291386,47.802206,98.027292,
15,0.990643,0.981322,0.985401,0.991511,0.994283,1.603383,2.722379,0.851654,0.990101,0.994707,0.996846,44.725999,47.359144,47.708535,96.974339,
16,0.991583,0.983568,0.986648,0.992065,0.995093,1.475968,1.603383,0.854641,0.991155,0.995177,0.996223,44.888128,47.525852,48.045286,96.986964,
17,0.990835,0.981968,0.986068,0.990963,0.994774,1.475968,1.475968,0.855428,0.990139,0.994392,0.996292,44.877259,47.354556,47.788881,96.789190,
18,0.990110,0.979154,0.985135,0.991448,0.993708,2.559215,2.559215,0.842469,0.988426,0.993643,0.995128,44.308717,46.931570,47.555170,97.922353,
19,0.990315,0.982986,0.984984,0.990594,0.993974,2.403296,3.947936,0.845895,0.987656,0.993139,0.995170,44.387174,47.104505,47.307802,97.741091,
20,0.990234,0.981715,0.986401,0.991317,0.992983,2.403296,2.403296,0.850196,0.987071,0.992313,0.994377,44.418988,47.372363,47.684347,97.621550,
21,0.990026,0.983028,0.985590,0.990452,0.993111,2.849915,2.941032,0.857024,0.988647,0.993687,0.995607,44.689459,47.414587,47.960101,98.332592,
22,0.987343,0.980561,0.984161,0.987499,0.990103,2.381322,2.849915,0.843456,0.985705,0.992709,0.994954,44.042961,47.141462,47.815571,97.016231,
23,0.989487,0.980366,0.985355,0.990204,0.992745,1.791948,2.381322,0.852005,0.989074,0.994363,0.996008,44.499779,47.407618,48.102791,96.884524,
24,0.991504,0.982465,0.988275,0.991570,0.994900,1.212429,1.791948,0.859132,0.989954,0.994579,0.996447,44.992684,47.328266,47.846919,96.604122,
