Frame,integer_adm2_egl_1,integer_adm_scale0_egl_1,integer_adm_scale1_egl_1,integer_adm_scale2_egl_1,integer_adm_scale3_egl_1,integer_motion2,integer_motion,integer_vif_scale0_egl_1,integer_vif_scale1_egl_1,integer_vif_scale2_egl_1,integer_vif_scale3_egl_1,psnr_y,psnr_cb,psnr_cr,vmaf,
0,0.992972,0.986700,0.989853,0.993179,0.995664,0.000000,0.000000,0.878503,0.993568,0.996763,0.997657,46.101014,46.879360,47.591342,95.502421,
1,0.993272,0.987311,0.989065,0.993266,0.996304,2.057859,3.133171,0.881026,0.993606,0.996738,0.997904,46.266600,46.991792,47.580459,98.355484,
2,0.993602,0.987395,0.989512,0.993538,0.996673,2.057859,2.057859,0.881359,0.994069,0.996833,0.997723,46.315061,47.024609,47.648623,98.419986,
3,0.993691,0.988603,0.990185,0.993972,0.996050,2.230503,3.561756,0.883640,0.994346,0.997179,0.997930,46.476167,47.150750,47.804748,98.703405,
4,0.993458,0.988316,0.989102,0.994555,0.995578,1.181002,2.230503,0.888571,0.994158,0.996843,0.997704,46.699689,47.341391,47.792050,97.217476,
5,0.993885,0.987757,0.989068,0.994140,0.997039,1.181002,1.181002,0.887386,0.994739,0.997401,0.997915,46.603033,47.365461,48.054705,97.355247,
6,0.993601,0.988387,0.989691,0.994162,0.995918,2.045057,3.904366,0.887100,0.993779,0.996700,0.997780,46.597131,47.106129,47.859780,98.402446,
7,0.993918,0.987739,0.989996,0.993956,0.996851,2.045057,2.045057,0.888506,0.994301,0.997102,0.997914,46.658228,47.198046,47.996499,98.503914,
8,0.993877,0.988234,0.989661,0.994160,0.996638,2.867041,4.426156,0.891238,0.994345,0.996950,0.997732,46.799428,47.640043,47.979917,99.565030,
9,0.993664,0.988482,0.990088,0.993377,0.996492,2.128716,2.867041,0.888430,0.994751,0.997459,0.998448,46.655055,47.308369,47.755432,98.620996,
10,0.993886,0.988599,0.990191,0.994148,0.996410,2.128716,2.128716,0.891376,0.994198,0.996986,0.997288,46.807886,47.526449,47.827700,98.553999,
11,0.993821,0.987277,0.989907,0.994111,0.996704,1.544434,2.574802,0.890862,0.994016,0.996823,0.997599,46.762632,47.468392,47.979917,97.775553,
12,0.993482,0.988126,0.990050,0.993738,0.995934,1.544434,1.544434,0.891623,0.994299,0.996967,0.997833,46.824091,47.561178,48.097346,97.728392,
13,0.993681,0.987542,0.989646,0.993523,0.996866,1.624470,1.624470,0.891902,0.994302,0.996912,0.998060,46.816994,47.388510,48.029855,97.894924,
14,0.993631,0.988718,0.990603,0.993622,0.996023,2.572606,2.572606,0.891148,0.994065,0.996882,0.997896,46.769015,47.349399,48.020490,99.130734,
15,0.994007,0.987791,0.990287,0.994308,0.996727,1.603383,2.722379,0.890840,0.994650,0.997209,0.997823,46.732599,47.415168,47.996499,97.933624,
16,0.993942,0.988330,0.990191,0.993645,0.996982,1.475968,1.603383,0.889931,0.994512,0.997313,0.997963,46.692916,47.335679,47.980579,97.763515,
17,0.993924,0.988252,0.990860,0.993620,0.996730,1.475968,1.475968,0.890430,0.994184,0.996901,0.997801,46.714381,47.132738,47.894045,97.726489,
18,0.993869,0.988174,0.990365,0.993717,0.996733,2.559215,2.559215,0.887411,0.994507,0.996962,0.997706,46.554487,47.351690,47.753546,99.153269,
19,0.993380,0.988152,0.989636,0.994019,0.995649,2.403296,3.947936,0.886494,0.993871,0.996868,0.997838,46.461908,47.183693,47.624155,98.842424,
20,0.993386,0.987980,0.989459,0.993354,0.996244,2.403296,2.403296,0.884606,0.993727,0.996400,0.997561,46.403032,47.118598,47.439067,98.798645,
21,0.993579,0.987266,0.989245,0.993587,0.996770,2.849915,2.941032,0.885307,0.994141,0.997162,0.998025,46.422993,47.048584,47.679402,99.504962,
22,0.993133,0.987666,0.989326,0.993115,0.995960,2.381322,2.849915,0.889070,0.994066,0.996936,0.997495,46.639954,47.206349,47.830258,98.737360,
23,0.993498,0.987988,0.989252,0.993317,0.996599,1.791948,2.381322,0.890371,0.994161,0.997124,0.997686,46.734338,47.407618,47.759835,98.057244,
24,0.993655,0.987723,0.990148,0.994128,0.996127,1.212429,1.791948,0.886464,0.993832,0.996734,0.997768,46.508835,47.156771,47.712268,97.300696,
